"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"2640","AMA","2001-04-20 22:53:00",-101.7059,35.2194,84.92,32,14.9,250,31,NA,29.7,1000.8,9,36,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,36,250,"2001-04-20 22:53",81.81,"METAR KAMA 202253Z 25031G36KT 9SM BLDU CLR 29/00 A2970 RMK AO2 PK WND 25036/2253 SLP008 T02940000"
"9704","AMA","2002-02-09 21:53:00",-101.7059,35.2194,42.08,21.02,42.69,350,29,NA,30.14,1020.6,3,42,"FEW","   ","   ",NA,5000,NA,NA,NA,"BLDU",NA,NA,NA,46,340,"2002-02-09 20:55",30.73,"METAR KAMA 092153Z 35029G42KT 3SM BLDU FEW050 06/M06 A3014 RMK AO2 PK WND 34046/2055 SLP206 T00561061"
"9705","AMA","2002-02-09 22:53:00",-101.7059,35.2194,37.94,21.92,52.09,350,32,NA,30.19,1022.9,3,40,"SCT","BKN","   ",NA,3700,4600,NA,NA,"BLDU",NA,NA,NA,41,360,"2002-02-09 22:24",24.51,"METAR KAMA 092253Z 35032G40KT 3SM BLDU SCT037 BKN046 03/M06 A3019 RMK AO2 PK WND 36041/2224 SLP229 T00331056"
"9706","AMA","2002-02-09 23:53:00",-101.7059,35.2194,37.04,21.92,53.97,340,33,NA,30.22,1024,3,37,"FEW","OVC","   ",NA,1800,4400,NA,NA,"BLDU",NA,NA,NA,40,350,"2002-02-09 23:27",23.09,"METAR KAMA 092353Z 34033G37KT 3SM BLDU FEW018 OVC044 03/M06 A3022 RMK AO2 PK WND 35040/2327 SLP240 T00281056 10078 20028 51039"
"9707","AMA","2002-02-10 00:53:00",-101.7059,35.2194,35.06,23,61.08,350,27,NA,30.27,1026,3,35,"BKN","OVC","   ",NA,3900,7000,NA,NA,"BLDU",NA,NA,NA,41,350,"2002-02-09 23:55",21.52,"METAR KAMA 100053Z 35027G35KT 3SM BLDU BKN039 OVC070 02/M05 A3027 RMK AO2 PK WND 35041/2355 SLP260 T00171050"
"10358","AMA","2002-03-09 03:53:00",-101.7059,35.2194,33.08,23,66.11,10,24,NA,29.94,1012.4,6,32,"BKN","   ","   ",NA,1200,NA,NA,NA,"BLDU",NA,NA,NA,42,350,"2002-03-09 03:30",19.52,"METAR KAMA 090353Z 01024G32KT 6SM BLDU BKN012 01/M05 A2994 RMK AO2 PK WND 35042/0330 WSHFT 0324 SLP124 T00061050"
"17291","AMA","2002-12-23 13:53:00",-101.7059,35.2194,28.04,26.96,95.65,40,7,0.07,30,1017.4,0.75,NA,"BKN","BKN","OVC",NA,700,1400,2800,NA,"-TSSN BR",NA,NA,NA,NA,NA,NA,19.95,"METAR KAMA 231353Z 04007KT 3/4SM -TSSN BR BKN007 BKN014 OVC028 M02/M03 A3000 RMK AO2 TSB30 SLP174 TS OVHD MVG UKN P0007 T10221028"
"25822","AMA","2003-12-15 16:53:00",-101.7059,35.2194,50,15.98,25.48,270,33,NA,29.55,998.6,4,40,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,41.06,"METAR KAMA 151653Z 27033G40KT 4SM BLDU CLR 10/M09 A2955 RMK AO2 PK WND 27044/1631 SLP986 T01001089"
"25823","AMA","2003-12-15 17:53:00",-101.7059,35.2194,50,15.98,25.48,270,31,NA,29.57,999.2,5,40,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,41.32,"METAR KAMA 151753Z 27031G40KT 5SM BLDU CLR 10/M09 A2957 RMK AO2 PK WND 26042/1719 SLP992 T01001089 10106 20028 55002"
"25824","AMA","2003-12-15 18:53:00",-101.7059,35.2194,51.08,14,22.45,270,29,NA,29.56,999.4,5,40,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,51.08,"METAR KAMA 151853Z 27029G40KT 5SM BLDU CLR 11/M10 A2956 RMK AO2 PK WND 27044/1813 SLP994 T01061100"
"25825","AMA","2003-12-15 19:53:00",-101.7059,35.2194,48.92,33.08,54.15,290,31,NA,29.56,999.9,8,39,"   ","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,39.83,"METAR KAMA 151953Z 29031G39KT 8SM BLDU 09/01 A2956 RMK AO2 PK WND 28041/1935 SLP999 T00940006 $"
