"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"19684","AXS","2006-03-19 05:55:00",-99.3385,34.6988,46.4,44.6,93.4,120,9,NA,29.97,NA,3,NA,"OVC","   ","   ",NA,400,NA,NA,NA,"-VCTSSN",NA,NA,NA,NA,NA,NA,41.42,"KAXS 190555Z AUTO 12009KT 3SM -VCTSSN OVC004 08/07 A2997 RMK AO2 LTG DSNT SW"
"37259","AXS","2006-11-30 11:10:00",-99.3385,34.6988,28.4,12.2,50.17,360,24,NA,30.11,NA,4,31,"SCT","SCT","OVC",NA,1900,3200,3900,NA,"-VCTSSN",NA,NA,NA,NA,NA,NA,13.2,"KAXS 301110Z AUTO 36024G31KT 4SM -VCTSSN SCT019 SCT032 OVC039 M02/M11 A3011 RMK AO2 LTG DSNT SE AND S"
"40371","AXS","2007-01-13 15:10:00",-99.3385,34.6988,21.2,21.2,100,10,7,NA,30.3,NA,2,NA,"BKN","OVC","   ",NA,900,1400,NA,NA,"-TSSN",NA,NA,NA,NA,NA,NA,11.61,"KAXS 131510Z AUTO 01007KT 2SM -TSSN BKN009 OVC014 M06/M06 A3030 RMK AO2 LTG DSNT SW"
"40372","AXS","2007-01-13 15:30:00",-99.3385,34.6988,21.2,21.2,100,30,6,0.01,30.3,NA,0.75,NA,"SCT","OVC","   ",NA,900,1600,NA,NA,"-TSSN",NA,NA,NA,NA,NA,NA,12.52,"KAXS 131530Z AUTO 03006KT 3/4SM -TSSN SCT009 OVC016 M06/M06 A3030 RMK AO2 P0001 LTG DSNT ALQS"
"40373","AXS","2007-01-13 15:50:00",-99.3385,34.6988,23,21.2,92.69,360,5,0.07,30.31,NA,1.25,NA,"SCT","OVC","   ",NA,1000,1600,NA,NA,"-TSSN",NA,NA,NA,NA,NA,NA,15.71,"KAXS 131550Z AUTO 36005KT 1 1/4SM -TSSN SCT010 OVC016 M05/M06 A3031 RMK AO2 P0007 LTG DSNT NE AND SE"
"40439","AXS","2007-01-14 14:10:00",-99.3385,34.6988,23,23,100,360,7,0.01,30.17,NA,4,NA,"OVC","   ","   ",NA,900,NA,NA,NA,"-TSSN",NA,NA,NA,NA,NA,NA,13.81,"KAXS 141410Z AUTO 36007KT 4SM -TSSN OVC009 M05/M05 A3017 RMK AO2 P0001 LTG DSNT NE THRU SE"
"40440","AXS","2007-01-14 14:30:00",-99.3385,34.6988,23,23,100,360,7,0.02,30.17,NA,2.5,NA,"SCT","OVC","   ",NA,900,1500,NA,NA,"-VCTSSN",NA,NA,NA,NA,NA,NA,13.81,"KAXS 141430Z AUTO 36007KT 2 1/2SM -VCTSSN SCT009 OVC015 M05/M05 A3017 RMK AO2 P0002 LTG DSNT NE THRU SE"
"63686","AXS","2007-12-10 01:10:00",-99.3385,34.6988,32,30.2,92.97,40,4,0.02,30.34,NA,3,NA,"OVC","   ","   ",NA,1200,NA,NA,NA,"-VCTSSN",NA,NA,NA,NA,NA,NA,27.42,"KAXS 100110Z AUTO 04004KT 3SM -VCTSSN OVC012 00/M01 A3034 RMK AO2 P0002"
"63694","AXS","2007-12-10 03:50:00",-99.3385,34.6988,32,30.2,92.97,350,8,0.06,30.35,NA,4,NA,"BKN","BKN","OVC",NA,1100,2100,7500,NA,"-TSSN",NA,NA,NA,NA,NA,NA,24.11,"KAXS 100350Z AUTO 35008KT 4SM -TSSN BKN011 BKN021 OVC075 00/M01 A3035 RMK AO2 P0006 LTG DSNT NE THRU S"
"63695","AXS","2007-12-10 04:10:00",-99.3385,34.6988,32,30.2,92.97,360,6,0.04,30.34,NA,2.5,NA,"SCT","BKN","OVC",NA,1100,1400,2500,NA,"TSSN",NA,NA,NA,NA,NA,NA,25.53,"KAXS 100410Z AUTO 36006KT 2 1/2SM TSSN SCT011 BKN014 OVC025 00/M01 A3034 RMK AO2 P0004"
