"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"1135","CSM","2001-02-09 04:19:00",-99.2005,35.3398,35.6,32,86.59,360,25,0.19,29.73,NA,3,32,"SCT","BKN","OVC",NA,700,1300,3200,NA,"-TSSN BR",NA,NA,NA,40,340,"2001-02-09 03:57",22.69,"KCSM 090419Z AUTO 36025G32KT 3SM -TSSN BR SCT007 BKN013 OVC032 02/00 A2973 RMK AO2 PK WND 34040/0357 LTG DSNT S-NW TSB19RAB0358E12FZRAB12E14 P0019"
"8953","CSM","2001-11-28 14:01:00",-99.2005,35.3398,21.2,14,73.32,10,21,NA,30.25,NA,2,24,"OVC","   ","   ",NA,1500,NA,NA,NA,"-TSSN",NA,NA,NA,NA,NA,NA,4.45,"KCSM 281401Z 01021G24KT 2SM -TSSN OVC015 M06/M10 A3025 RMK AO2 TSB01 P0000"
"19763","CSM","2002-12-23 14:11:00",-99.2005,35.3398,33.8,32,93.03,60,17,0.09,30.03,NA,0.5,NA,"OVC","   ","   ",NA,200,NA,NA,NA,"TSSN FG",NA,NA,NA,NA,NA,NA,22.43,"KCSM 231411Z 06017KT 1/2SM TSSN FG OVC002 01/00 A3003 RMK AO2 LTG DSNT ALQDS TSB05 PRESFR P0009"
"53031","CSM","2006-04-06 20:53:00",-99.2005,35.3398,73.94,15.98,10.93,230,39,NA,29.46,995.6,8,49,"FEW","   ","   ",NA,400,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,71.55,"KCSM 062053Z 23039G49KT 8SM DS FEW004 23/M09 A2946 RMK AO2 PK WND 23049/2053 SLP956 T02331089 58011"
"53032","CSM","2006-04-06 21:38:00",-99.2005,35.3398,73.4,17.6,11.94,250,27,NA,29.47,NA,5,43,"BKN","   ","   ",NA,500,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,71,"KCSM 062138Z 25027G43KT 5SM DS BKN005 23/M08 A2947 RMK AO2 PK WND 25049/2117"
"53033","CSM","2006-04-06 21:53:00",-99.2005,35.3398,71.96,17.06,12.25,250,35,NA,29.47,995.9,5,49,"BKN","   ","   ",NA,500,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,69.43,"KCSM 062153Z 25035G49KT 5SM DS BKN005 22/M08 A2947 RMK AO2 PK WND 25049/2149 SLP959 T02221083"
"53034","CSM","2006-04-06 22:10:00",-99.2005,35.3398,71.6,19.4,13.71,260,27,NA,29.47,NA,7,40,"SCT","   ","   ",NA,800,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,69.1,"KCSM 062210Z 26027G40KT 7SM DS SCT008 22/M07 A2947 RMK AO2 PK WND 25043/2154"
"53035","CSM","2006-04-06 22:53:00",-99.2005,35.3398,71.06,17.06,12.63,260,26,NA,29.47,996.2,8,37,"CLR","   ","   ",NA,NA,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,68.46,"KCSM 062253Z 26026G37KT 8SM DS CLR 22/M08 A2947 RMK AO2 PK WND 25046/2225 SLP962 T02171083"
"53036","CSM","2006-04-06 23:53:00",-99.2005,35.3398,71.96,15.98,11.69,260,22,NA,29.48,996.2,10,28,"CLR","   ","   ",NA,NA,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,69.41,"KCSM 062353Z 26022G28KT 10SM DS CLR 22/M09 A2948 RMK AO2 PK WND 25034/2312 SLP962 T02221089 10256 20217 51004"
"53037","CSM","2006-04-07 00:53:00",-99.2005,35.3398,68,19.04,15.27,270,11,NA,29.5,997.1,10,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"DS",NA,NA,NA,32,260,"2006-04-06 23:56",68,"KCSM 070053Z 27011KT 10SM DS CLR 20/M07 A2950 RMK AO2 PK WND 26032/2356 SLP971 T02001072"
"57446","CSM","2006-09-21 21:53:00",-99.2005,35.3398,82.04,44.06,26.25,260,20,NA,29.46,995.2,6,26,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,30,240,"2006-09-21 21:40",80.24,"KCSM 212153Z 26020G26KT 6SM BLDU CLR 28/07 A2946 RMK AO2 PK WND 24030/2140 SLP952 T02780067"
"57447","CSM","2006-09-21 22:53:00",-99.2005,35.3398,80.96,46.94,30.33,260,18,NA,29.48,996.1,10,24,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,35,250,"2006-09-21 22:11",79.81,"KCSM 212253Z 26018G24KT 10SM BLDU CLR 27/08 A2948 RMK AO2 PK WND 25035/2211 SLP961 T02720083"
"57448","CSM","2006-09-21 23:53:00",-99.2005,35.3398,77,48.02,35.98,270,9,NA,29.51,997.1,10,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,30,260,"2006-09-21 22:59",77,"KCSM 212353Z 27009KT 10SM BLDU CLR 25/09 A2951 RMK AO2 PK WND 26030/2259 SLP971 T02500089 10278 20244 53017"
"57449","CSM","2006-09-22 00:53:00",-99.2005,35.3398,68,51.98,56.51,250,5,NA,29.53,998.1,10,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,68,"KCSM 220053Z 25005KT 10SM BLDU CLR 20/11 A2953 RMK AO2 SLP981 T02000111"
"57450","CSM","2006-09-22 01:53:00",-99.2005,35.3398,66.02,51.98,60.51,190,3,NA,29.54,998.7,10,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,66.02,"KCSM 220153Z 19003KT 10SM BLDU CLR 19/11 A2954 RMK AO2 SLP987 T01890111"
"57451","CSM","2006-09-22 02:53:00",-99.2005,35.3398,66.02,50,56.23,10,7,NA,29.57,999.4,10,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,66.02,"KCSM 220253Z 01007KT 10SM BLDU CLR 19/10 A2957 RMK AO2 SLP994 T01890100 53019"
"57452","CSM","2006-09-22 03:53:00",-99.2005,35.3398,64.04,48.02,55.95,60,7,NA,29.57,999.5,10,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,64.04,"KCSM 220353Z 06007KT 10SM BLDU CLR 18/09 A2957 RMK AO2 SLP995 T01780089"
"57453","CSM","2006-09-22 04:53:00",-99.2005,35.3398,66.92,46.94,48.6,70,7,NA,29.55,998.6,10,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,66.92,"KCSM 220453Z 07007KT 10SM BLDU CLR 19/08 A2955 RMK AO2 SLP986 T01940083"
"82347","CSM","2009-04-09 19:44:00",-99.2005,35.3398,71.6,30.2,21.5,270,45,NA,29.42,NA,2,58,"VV ","   ","   ",NA,300,NA,NA,NA,"HZ BLDU",NA,NA,NA,58,270,"2009-04-09 19:44",69.47,"KCSM 091944Z 27045G58KT 2SM HZ BLDU VV003 22/M01 A2942 RMK AO2 PK WND 27058/1944"
"82348","CSM","2009-04-09 19:53:00",-99.2005,35.3398,68,32,26.15,280,42,NA,29.42,994.5,2,58,"VV ","   ","   ",NA,300,NA,NA,NA,"HZ BLDU",NA,NA,NA,58,270,"2009-04-09 19:44",68,"KCSM 091953Z 28042G58KT 2SM HZ BLDU VV003 20/00 A2942 RMK AO2 PK WND 27058/1944 SLP945 T02000000"
"82349","CSM","2009-04-09 20:00:00",-99.2005,35.3398,68,33.8,28.11,280,44,NA,29.43,NA,1.25,56,"SCT","   ","   ",NA,200,NA,NA,NA,"HZ BLDU",NA,NA,NA,56,270,"2009-04-09 19:55",68,"KCSM 092000Z 28044G56KT 1 1/4SM HZ BLDU SCT002 20/01 A2943 RMK AO2 PK WND 27056/1955"
"82350","CSM","2009-04-09 20:11:00",-99.2005,35.3398,66.2,30.2,25.88,280,38,NA,29.43,NA,2.5,52,"SCT","   ","   ",NA,200,NA,NA,NA,"HZ BLDU",NA,NA,NA,56,270,"2009-04-09 19:55",66.2,"KCSM 092011Z 28038G52KT 2 1/2SM HZ BLDU SCT002 19/M01 A2943 RMK AO2 PK WND 27056/1955"
"82351","CSM","2009-04-09 20:18:00",-99.2005,35.3398,68,32,26.15,270,36,NA,29.44,NA,4,48,"FEW","   ","   ",NA,200,NA,NA,NA,"HZ BLDU",NA,NA,NA,56,270,"2009-04-09 19:55",68,"KCSM 092018Z 27036G48KT 4SM HZ BLDU FEW002 20/00 A2944 RMK AO2 PK WND 27056/1955"
"94310","CSM","2010-05-10 20:53:00",-99.2005,35.3398,93.92,28.94,9.91,230,34,NA,29.52,997.2,4,49,"CLR","   ","   ",NA,NA,NA,NA,NA,"HZ BLDU",NA,NA,NA,49,230,"2010-05-10 20:52",88.5,"KCSM 102053Z 23034G49KT 4SM HZ BLDU CLR 34/M02 A2952 RMK AO2 PK WND 23049/2052 SLP972 T03441017 56034"
"94311","CSM","2010-05-10 21:53:00",-99.2005,35.3398,91.04,19.94,7.45,250,33,NA,29.55,998.4,4,49,"CLR","   ","   ",NA,NA,NA,NA,NA,"HZ BLDU",NA,NA,NA,49,250,"2010-05-10 21:52",85.62,"KCSM 102153Z 25033G49KT 4SM HZ BLDU CLR 33/M07 A2955 RMK AO2 PK WND 25049/2152 SLP984 T03281067"
"103808","CSM","2011-04-15 15:53:00",-99.2005,35.3398,55.04,28.94,36.54,320,28,NA,29.83,1009.4,6,42,"FEW","   ","   ",NA,2400,NA,NA,NA,"HZ BLDU",NA,NA,NA,54,320,"2011-04-15 15:29",55.04,"KCSM 151553Z 32028G42KT 6SM HZ BLDU FEW024 13/M02 A2983 RMK AO2 PK WND 32054/1529 SLP094 T01281017 $"
"103809","CSM","2011-04-15 16:58:00",-99.2005,35.3398,57.2,26.6,30.69,320,40,NA,29.85,NA,6,52,"FEW","   ","   ",NA,6000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,57.2,"KCSM 151658Z 32040G52KT 6SM BLDU FEW060 14/M03 A2985"
"103810","CSM","2011-04-15 17:54:00",-99.2005,35.3398,60.08,24.98,25.89,320,36,NA,29.87,1010.7,6,54,"FEW","   ","   ",NA,6000,NA,NA,NA,"HZ BLDU",NA,NA,NA,54,310,"2011-04-15 17:51",60.08,"KCSM 151754Z 32036G54KT 6SM HZ BLDU FEW060 16/M04 A2987 RMK AO2 PK WND 31054/1751 SLP107 6//// T01561039 10161 20083 $"
"122451","CSM","2013-02-21 09:23:00",-99.2005,35.3398,32,30.2,92.97,20,7,1e-04,29.76,NA,1.25,NA,"OVC",NA,NA,NA,500,NA,NA,NA,"-TSSN BR",NA,NA,NA,NA,NA,NA,24.78,"KCSM 210923Z AUTO 02007KT 1 1/4SM -TSSN BR OVC005 00/M01 A2976 RMK AO2 LTG DSNT SE AND W TSB17UPE03SNB03 P0000 $"
"133478","CSM","2014-03-18 22:55:00",-99.2005,35.3398,64.4,19.4,17.56,310,29,0,29.7,NA,1.5,37,"BKN","OVC",NA,NA,2400,3300,NA,NA,"BLDU",NA,NA,NA,37,310,"2014-03-18 22:51",64.4,"KCSM 182255Z 31029G37KT 1 1/2SM BLDU BKN024 OVC033 18/M07 A2970 RMK AO2 PK WND 31037/2251"
"133479","CSM","2014-03-18 23:19:00",-99.2005,35.3398,62.6,24.8,23.5,300,29,0,29.72,NA,2.5,37,"BKN","OVC",NA,NA,2400,3400,NA,NA,"BLDU",NA,NA,NA,37,300,"2014-03-18 23:14",62.6,"KCSM 182319Z 30029G37KT 2 1/2SM BLDU BKN024 OVC034 17/M04 A2972 RMK AO2 PK WND 30037/2314"
"133480","CSM","2014-03-18 23:28:00",-99.2005,35.3398,62.6,24.8,23.5,310,26,0,29.73,NA,4,36,"BKN","BKN","OVC",NA,2800,3400,4400,NA,"BLDU",NA,NA,NA,37,300,"2014-03-18 23:14",62.6,"KCSM 182328Z 31026G36KT 4SM BLDU BKN028 BKN034 OVC044 17/M04 A2973 RMK AO2 PK WND 30037/2314"
"133481","CSM","2014-03-18 23:37:00",-99.2005,35.3398,62.6,24.8,23.5,310,24,0,29.74,NA,6,36,"BKN","OVC",NA,NA,3200,4400,NA,NA,"BLDU",NA,NA,NA,37,300,"2014-03-18 23:14",62.6,"KCSM 182337Z 31024G36KT 6SM BLDU BKN032 OVC044 17/M04 A2974 RMK AO2 PK WND 30037/2314"
"133482","CSM","2014-03-18 23:53:00",-99.2005,35.3398,60.08,28.04,29.38,320,29,0,29.76,1007,4,36,"BKN","OVC",NA,NA,3200,4400,NA,NA,"BLDU",NA,NA,NA,37,300,"2014-03-18 23:14",60.08,"KCSM 182353Z 32029G36KT 4SM BLDU BKN032 OVC044 16/M02 A2976 RMK AO2 PK WND 30037/2314 SLP070 T01561022 10211 20156 53051"
"133483","CSM","2014-03-19 00:13:00",-99.2005,35.3398,59,24.8,26.7,310,23,0,29.78,NA,4,33,"OVC",NA,NA,NA,2800,NA,NA,NA,"BLDU",NA,NA,NA,33,310,"2014-03-19 00:11",59,"KCSM 190013Z 31023G33KT 4SM BLDU OVC028 15/M04 A2978 RMK AO2 PK WND 31033/0011"
"133484","CSM","2014-03-19 00:29:00",-99.2005,35.3398,57.2,24.8,28.48,320,26,0,29.8,NA,5,34,"OVC",NA,NA,NA,3000,NA,NA,NA,"BLDU",NA,NA,NA,34,310,"2014-03-19 00:26",57.2,"KCSM 190029Z 32026G34KT 5SM BLDU OVC030 14/M04 A2980 RMK AO2 PK WND 31034/0026 PRESRR"
"133485","CSM","2014-03-19 00:53:00",-99.2005,35.3398,55.04,24.98,31.03,320,30,0,29.84,1010.1,6,38,"OVC",NA,NA,NA,3600,NA,NA,NA,"BLDU",NA,NA,NA,38,330,"2014-03-19 00:48",55.04,"KCSM 190053Z 32030G38KT 6SM BLDU OVC036 13/M04 A2984 RMK AO2 PK WND 33038/0048 PRESRR SLP101 T01281039"
"152222","CSM","2015-12-27 02:32:00",-99.2005,35.3398,35.96,30.92,81.72,10,30,0.01,30.02,NA,8,40,"OVC",NA,NA,NA,1300,NA,NA,NA,"-TSSN",NA,NA,NA,45,350,"2015-12-27 02:22",22.14,"KCSM 270232Z AUTO 01030G40KT 8SM -TSSN OVC013 02/M01 A3002 RMK AO2 PK WND 35045/0222 LTG DSNT SW TSB26 P0001 T00221006"
