"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"1153","GCK","2001-02-08 23:38:00",-100.7244,37.9275,21.2,17.6,85.74,350,20,0.02,29.87,NA,2,25,"SCT","BKN","OVC",NA,1800,2600,3500,NA,"-TSSN BR",NA,NA,NA,NA,NA,NA,4.79,"KGCK 082338Z 35020G25KT 2SM -TSSN BR SCT018 BKN026 OVC035 M06/M08 A2987 RMK AO2 TSB32UPE37SNB37 P0002"
"1154","GCK","2001-02-08 23:43:00",-100.7244,37.9275,21.2,17.6,85.74,350,20,0.03,29.86,NA,0.5,25,"BKN","BKN","OVC",NA,1400,2600,3500,NA,"TSSN FZFG",NA,NA,NA,NA,NA,NA,4.79,"KGCK 082343Z 35020G25KT 1/2SM TSSN FZFG BKN014 BKN026 OVC035 M06/M08 A2986 RMK AO2 LTG DSNT N TSB32UPE37SNB37 P0003"
"8100","GCK","2001-10-12 15:54:00",-100.7244,37.9275,55.04,37.94,52.4,350,29,NA,29.75,1006.3,7,41,"SCT",NA,NA,NA,3400,NA,NA,NA,"BLDU",NA,NA,NA,41,340,"2001-10-12 15:54",55.04,"KGCK 121554Z 35029G41KT 7SM BLDU SCT034 13/03 A2975 RMK AO2 PK WND 34041/1554 SLP063 T01280033"
"23585","GCK","2003-04-19 20:54:00",-100.7244,37.9275,39.02,37.94,95.86,360,23,0.29,29.85,1010.7,7,30,"FEW","BKN","OVC",NA,1000,1700,5500,NA,"-TSSN",NA,NA,NA,33,10,"2003-04-19 20:12",27.75,"KGCK 192054Z 36023G30KT 7SM -TSSN FEW010 BKN017 OVC055 04/03 A2985 RMK AO2 PK WND 01033/2012 WSHFT 2025 LTG DSNT E TSB04E28B35RAB04E52SNB52 SLP107 P0029 60033 T00390033 53020"
"23586","GCK","2003-04-19 21:01:00",-100.7244,37.9275,39.2,37.4,93.19,360,27,1e-04,29.85,NA,9,32,"FEW","BKN","OVC",NA,1200,4400,6000,NA,"-TSSN",NA,NA,NA,32,10,"2003-04-19 21:01",27.16,"KGCK 192101Z 36027G32KT 9SM -TSSN FEW012 BKN044 OVC060 04/03 A2985 RMK AO2 PK WND 01032/2101 LTG DSNT E P0000"
"61930","GCK","2006-12-29 12:54:00",-100.7244,37.9275,33.98,32,92.36,350,15,0.08,30.06,1019.2,1.75,NA,"OVC",NA,NA,NA,300,NA,NA,NA,"-TSSN BR",NA,NA,NA,NA,NA,NA,23.35,"KGCK 291254Z 35015KT 1 3/4SM -TSSN BR OVC003 01/00 A3006 RMK AO2 PK WND 02026/1219 LTG DSNT SE-SW TSB48UPB31E35FZRAB35E36SNE31B36 PRESRR SLP192 P0008 T00110000"
"61939","GCK","2006-12-29 14:06:00",-100.7244,37.9275,33.8,30.2,86.49,360,20,0.06,30.07,NA,1.75,NA,"SCT","OVC",NA,NA,600,1400,NA,NA,"-TSSN BR",NA,NA,NA,NA,NA,NA,21.53,"KGCK 291406Z 36020KT 1 3/4SM -TSSN BR SCT006 OVC014 01/M01 A3007 RMK AO2 FZRAE06SNB06 P0006"
"96902","GCK","2010-05-10 18:50:00",-100.7244,37.9275,78.8,30.2,16.9,270,34,NA,29.42,NA,3,47,"SCT","   ","   ",NA,700,NA,NA,NA,"BLDU",NA,NA,NA,47,240,"2010-05-10 18:42",77.17,"KGCK 101850Z 27034G47KT 3SM BLDU SCT007 26/M01 A2942 RMK AO2 PK WND 24047/1842 WSHFT 1818 BLDU ALL QUADRANTS $"
"96903","GCK","2010-05-10 18:54:00",-100.7244,37.9275,77,32,19.3,270,38,NA,29.43,994.2,3,48,"SCT","   ","   ",NA,700,NA,NA,NA,"BLDU",NA,NA,NA,48,280,"2010-05-10 18:51",75.31,"KGCK 101854Z 27038G48KT 3SM BLDU SCT007 25/00 A2943 RMK AO2 PK WND 28048/1851 WSHFT 1818 PRESRR SLP942 BLDU ALL QUADRANTS T02500000 $"
"96904","GCK","2010-05-10 18:54:00",-100.7244,37.9275,77,32,19.3,270,38,NA,29.43,994.2,3,48,"SCT","   ","   ",NA,700,NA,NA,NA,"BLDU",NA,NA,NA,48,280,"2010-05-10 18:51",75.31,"KGCK 101854Z 27038G48KT 3SM BLDU SCT007 25/00 A2943"
"96905","GCK","2010-05-10 19:01:00",-100.7244,37.9275,75.2,33.8,22.02,280,37,NA,29.44,NA,6,47,"FEW","   ","   ",NA,700,NA,NA,NA,"BLDU",NA,NA,NA,46,280,"2010-05-10 19:01",73.46,"KGCK 101901Z 28037G47KT 6SM BLDU FEW007 24/01 A2944 RMK AO2 PK WND 28046/1901 WSHFT 1841 $"
