"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"1595","HOB","2001-04-06 20:50:00",-103.217,32.6875,86,33.8,15.48,210,35,NA,29.57,NA,3,50,"BKN","   ","   ",NA,3000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,82.66,"KHOB 062050Z 21035G50KT 3SM BLDU BKN030 30/01 A2957 RMK SLPNO"
"1596","HOB","2001-04-06 21:15:00",-103.217,32.6875,69.8,39.2,32.72,240,35,NA,29.66,NA,1.5,48,"BKN","   ","   ",NA,3000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,69.8,"KHOB 062115Z 24035G48KT 1 1/2SM BLDU BKN030 21/04 A2966 RMK SLPNO"
"1597","HOB","2001-04-06 21:50:00",-103.217,32.6875,66.2,35.6,32.14,250,30,NA,29.68,NA,1.5,45,"VV ","   ","   ",NA,1000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,66.2,"KHOB 062150Z 25030G45KT 1 1/2SM BLDU VV010 19/02 A2968 RMK SLPNO"
"1599","HOB","2001-04-06 23:50:00",-103.217,32.6875,64.4,17.6,16.26,250,25,NA,29.78,NA,2,37,"VV ","   ","   ",NA,1000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,64.4,"KHOB 062350Z 25025G37KT 2SM BLDU VV010 18/M08 A2978 RMK SLPNO 10304"
"1666","HOB","2001-04-10 23:50:00",-103.217,32.6875,77,28.4,16.67,220,20,NA,29.5,NA,6,NA,"OVC","   ","   ",NA,10000,NA,NA,NA,"BLSA",NA,NA,NA,NA,NA,NA,75.18,"KHOB 102350Z 22020KT 6SM BLSA OVC100 25/M02 A2950 RMK SLPNO 10270"
"1667","HOB","2001-04-11 00:50:00",-103.217,32.6875,73.4,21.2,13.93,240,25,NA,29.53,NA,4,35,"OVC","   ","   ",NA,1000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,71.09,"KHOB 110050Z 24025G35KT 4SM BLDU OVC010 23/-06 A2953 RMK SLPNO"
"1668","HOB","2001-04-11 01:50:00",-103.217,32.6875,66.2,19.4,16.5,240,25,NA,29.58,NA,4,35,"OVC","   ","   ",NA,10000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,66.2,"KHOB 110150Z 24025G35KT 4SM BLDU OVC100 19/M07 A2958 RMK SLPNO"
"1669","HOB","2001-04-11 02:50:00",-103.217,32.6875,62.6,14,14.81,240,25,NA,29.62,NA,4,35,"OVC","   ","   ",NA,10000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,62.6,"KHOB 110250Z 24025G35KT 4SM BLDU OVC100 17/M10 A2962 RMK SLPNO"
"2323","HOB","2001-05-21 13:50:00",-103.217,32.6875,50,32,49.81,20,25,NA,30.14,NA,5,35,"SCT","   ","   ",NA,20000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,42.18,"KHOB 211350Z 02025G35KT 5SM BLDU SCT200 10/00 A3014 RMK SLPNO"
"2324","HOB","2001-05-21 14:50:00",-103.217,32.6875,51.8,32,46.59,20,20,NA,30.18,NA,5,35,"BKN","   ","   ",NA,9000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,51.8,"KHOB 211450Z 02020G35KT 5SM BLDU BKN090 11/M00 A3018 RMK SLPNO"
"3453","HOB","2001-07-27 23:38:00",-103.217,32.6875,91.4,62.6,38.45,70,20,NA,30.02,NA,3,NA,"BKN","   ","   ",NA,7000,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,91.4,"KHOB 272338Z 07020KT 3SM DS BKN070CB 33/17 A3002 RMK CB E VIS E 1 SLPNO"
"3454","HOB","2001-07-27 23:50:00",-103.217,32.6875,86,62.6,45.61,60,20,NA,30.03,NA,3,NA,"BKN","   ","   ",NA,7000,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,86.72,"KHOB 272350Z 06020KT 3SM DS BKN070CB 30/17 A3003 RMK VIS E 1 CB E SLPNO 10 384"
"4736","HOB","2001-10-11 01:40:00",-103.217,32.6875,71.6,37.4,28.68,330,40,NA,30.09,NA,3,NA,"OVC","   ","   ",NA,15000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,69.81,"KHOB 110140Z 33040KT 3SM BLDU OVC150 22/03 A3009 RMK SLPNO LTG DSNT NW"
"4737","HOB","2001-10-11 01:50:00",-103.217,32.6875,62.6,44.6,51.72,350,25,NA,30.08,NA,6,35,"OVC","   ","   ",NA,15000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,62.6,"KHOB 110150Z 35025G35KT 6SM BLDU OVC150 17/07 A3008 RMK SLPNO LTG OVHD"
"4767","HOB","2001-10-12 21:35:00",-103.217,32.6875,68,39.2,34.8,320,28,NA,29.79,NA,3,42,"BKN","   ","   ",NA,3000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,68,"KHOB 122135Z 32028G42KT 3SM BLDU BKN030 20/04 A2979 RMK SLPNO"
"4768","HOB","2001-10-12 21:50:00",-103.217,32.6875,57.2,42.8,58.52,330,25,NA,29.82,NA,3,40,"OVC","   ","   ",NA,2000,NA,NA,NA,"RA BLDU",NA,NA,NA,NA,NA,NA,57.2,"KHOB 122150Z 33025G40KT 3SM RA BLDU OVC020 14/06 A2982 RMK SLPNO"
"4770","HOB","2001-10-12 22:50:00",-103.217,32.6875,57.2,46.4,67.12,340,24,NA,29.89,NA,4,32,"BKN","   ","   ",NA,3000,NA,NA,NA,"-RA BLDU",NA,NA,NA,NA,NA,NA,57.2,"KHOB 122250Z 34024G32KT 4SM -RA BLDU BKN030 14/08 A2989 RMK SLPNO"
"4814","HOB","2001-10-15 16:55:00",-103.217,32.6875,69.8,35.6,28.39,20,20,NA,30.23,NA,5,30,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,69.8,"KHOB 151655Z 02020G30KT 5SM BLDU SKC 21/02 A3023 RMK SLPNO"
"4815","HOB","2001-10-15 17:50:00",-103.217,32.6875,69.8,37.4,30.49,20,20,NA,30.26,NA,3,30,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,69.8,"KHOB 151750Z 02020G30KT 3SM BLDU SKC 21/03 A3026 RMK SLPNO 20087"
"4816","HOB","2001-10-15 18:50:00",-103.217,32.6875,69.8,39.2,32.72,10,20,NA,30.27,NA,3,30,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,69.8,"KHOB 151850Z 01020G30KT 3SM BLDU SKC 21/04 A3027 RMK SLPNO"
"4818","HOB","2001-10-15 20:50:00",-103.217,32.6875,69.8,39.2,32.72,20,20,NA,30.3,NA,3,30,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,69.8,"KHOB 152050Z 02020G30KT 3SM BLDU SKC 21/04 A3030 RMK SLPNO"
"4819","HOB","2001-10-15 21:50:00",-103.217,32.6875,66.2,37.4,34.51,30,20,NA,30.33,NA,3,30,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,66.2,"KHOB 152150Z 03020G30KT 3SM BLDU SKC 19/03 A3033 RMK SLPNO"
"5197","HOB","2001-11-08 14:55:00",-103.217,32.6875,50,26.6,39.95,20,20,NA,30.4,NA,5,30,"FEW","   ","   ",NA,10000,NA,NA,NA,"DU",NA,NA,NA,NA,NA,NA,43.05,"KHOB 081455Z 02020G30KT 5SM DU FEW100 10/M03 A3040 RMK SLPNO"
"5198","HOB","2001-11-08 15:50:00",-103.217,32.6875,51.8,28.4,40.25,20,25,NA,30.42,NA,5,NA,"FEW","   ","   ",NA,15000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,51.8,"KHOB 081550Z 02025KT 5SM BLDU FEW150 11/M02 A3042 RMK SLPNO"
"5199","HOB","2001-11-08 16:50:00",-103.217,32.6875,55.4,30.2,37.97,10,20,NA,30.47,NA,5,NA,"SCT","   ","   ",NA,15000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,55.4,"KHOB 081650Z 01020KT 5SM BLDU SCT150 13/M01 A3047 RMK SLPNO"
"5200","HOB","2001-11-08 17:55:00",-103.217,32.6875,57.2,33.8,41.13,10,20,NA,30.47,NA,5,NA,"FEW","   ","   ",NA,15000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,57.2,"KHOB 081755Z 01020KT 5SM BLDU FEW150 14/01 A3047 RMK SLPNO"
