"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"302","LBB","2001-01-13 20:53:00",-101.8228,33.6636,55.04,17.96,23.06,250,36,NA,29.77,1006.1,6,44,"CLR","   ","   ",NA,NA,NA,NA,NA,"DU",NA,NA,NA,44,250,"2001-01-13 20:52",55.04,"METAR KLBB 132053Z 25036G44KT 6SM DU CLR 13/M08 A2977 RMK AO2 PK WND 25044/2052 SLP061 T01281078 56020"
"303","LBB","2001-01-13 21:53:00",-101.8228,33.6636,53.96,17.06,23.07,260,32,NA,29.78,1006.7,4,40,"CLR","   ","   ",NA,NA,NA,NA,NA,"DU",NA,NA,NA,44,250,"2001-01-13 20:59",53.96,"METAR KLBB 132153Z 26032G40KT 4SM DU CLR 12/M08 A2978 RMK AO2 PK WND 25044/2059 SLP067 T01221083"
"304","LBB","2001-01-13 22:53:00",-101.8228,33.6636,53.06,17.06,23.84,270,28,NA,29.81,1007.9,3,35,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,43,270,"2001-01-13 21:54",53.06,"METAR KLBB 132253Z 27028G35KT 3SM BLDU CLR 12/M08 A2981 RMK AO2 PK WND 27043/2154 SLP079 T01171083"
"305","LBB","2001-01-13 23:53:00",-101.8228,33.6636,51.08,19.04,27.93,280,21,NA,29.84,1009,3,29,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,37,270,"2001-01-13 22:56",51.08,"METAR KLBB 132353Z 28021G29KT 3SM BLDU CLR 11/M07 A2984 RMK AO2 PK WND 27037/2256 SLP090 T01061072 10133 20100 53021"
"1307","LBB","2001-02-24 17:53:00",-101.8228,33.6636,53.96,21.02,27.33,260,33,NA,29.64,1000.9,3,43,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,43,260,"2001-02-24 17:51",53.96,"METAR KLBB 241753Z 26033G43KT 3SM BLDU CLR 12/M06 A2964 RMK AO2 PK WND 26043/1751 SLP009 60000 T01221061 10122 20067 51016"
"1308","LBB","2001-02-24 18:53:00",-101.8228,33.6636,55.94,17.96,22.32,250,37,NA,29.63,1000.6,1,45,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,47,250,"2001-02-24 18:28",55.94,"METAR KLBB 241853Z 25037G45KT 1SM BLDU CLR 13/M08 A2963 RMK AO2 PK WND 25047/1828 SFC VIS 1 1/2 SLP006 T01331078"
"1309","LBB","2001-02-24 19:53:00",-101.8228,33.6636,55.94,15.08,19.7,240,32,NA,29.63,1000.8,0.5,45,"VV ","   ","   ",NA,800,NA,NA,NA,"BLDU",NA,NA,NA,49,260,"2001-02-24 18:54",55.94,"METAR KLBB 241953Z 24032G45KT 1/2SM BLDU VV008 13/M09 A2963 RMK AO2 PK WND 26049/1854 SFC VIS 1 1/2 SLP008 T01331094"
"1310","LBB","2001-02-24 20:53:00",-101.8228,33.6636,55.94,12.92,17.92,260,35,NA,29.65,1001.8,0.5,47,"VV ","   ","   ",NA,800,NA,NA,NA,"BLDU",NA,NA,NA,47,260,"2001-02-24 20:47",55.94,"METAR KLBB 242053Z 26035G47KT 1/2SM BLDU VV008 13/M11 A2965 RMK AO2 PK WND 26047/2047 SFC VIS 1 1/4 SLP018 T01331106 53004"
"1311","LBB","2001-02-24 21:53:00",-101.8228,33.6636,57.02,12.92,17.23,260,33,NA,29.67,1002.4,0.5,45,"VV ","   ","   ",NA,800,NA,NA,NA,"BLDU",NA,NA,NA,46,250,"2001-02-24 21:18",57.02,"METAR KLBB 242153Z 26033G45KT 1/2SM BLDU VV008 14/M11 A2967 RMK AO2 PK WND 25046/2118 SFC VIS 1 1/2 SLP024 T01391106"
"1312","LBB","2001-02-24 22:53:00",-101.8228,33.6636,57.02,10.04,15.16,270,31,NA,29.69,1003.3,0.5,38,"VV ","   ","   ",NA,800,NA,NA,NA,"BLDU",NA,NA,NA,46,250,"2001-02-24 22:25",57.02,"METAR KLBB 242253Z 27031G38KT 1/2SM BLDU VV008 14/M12 A2969 RMK AO2 PK WND 25046/2225 SFC VIS 1 1/4 SLP033 T01391122"
"1313","LBB","2001-02-24 23:53:00",-101.8228,33.6636,55.94,6.98,13.74,260,26,NA,29.73,1004.9,0.5,35,"VV ","   ","   ",NA,1000,NA,NA,NA,"BLDU",NA,NA,NA,42,260,"2001-02-24 23:00",55.94,"METAR KLBB 242353Z 26026G35KT 1/2SM BLDU VV010 13/M14 A2973 RMK AO2 PK WND 26042/2300 SFC VIS 3 SLP049 T01331139 10139 20122 53025"
"1314","LBB","2001-02-25 00:53:00",-101.8228,33.6636,53.06,8.96,16.69,260,20,NA,29.77,1006.4,0.5,NA,"VV ","   ","   ",NA,1400,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,53.06,"METAR KLBB 250053Z 26020KT 1/2SM BLDU VV014 12/M13 A2977 RMK AO2 PK WND 26034/2354 SFC VIS 5 SLP064 T01171128"
"1315","LBB","2001-02-25 01:53:00",-101.8228,33.6636,48.02,12.02,23.06,260,13,NA,29.82,1008.4,5,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,42.09,"METAR KLBB 250153Z 26013KT 5SM BLDU CLR 09/M11 A2982 RMK AO2 SLP084 T00891111"
"1764","LBB","2001-03-15 18:53:00",-101.8228,33.6636,55.04,19.94,25.1,320,31,NA,29.92,1011.6,6,41,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,41,330,"2001-03-15 18:51",55.04,"METAR KLBB 151853Z 32031G41KT 6SM BLDU CLR 13/M07 A2992 RMK AO2 PK WND 33041/1851 SLP116 T01281067"
