"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"1193","LTS","2001-03-15 15:07:00",-99.2667,34.6671,51.8,28.4,40.25,310,31,NA,29.7,NA,7,40,"FEW","FEW","   ","   ",0,10000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,51.8,"KLTS 151507Z 31031G40KT 7SM BLDU FEW000 FEW100 11/M02 A2970 RMK VIS N 3 DU FEW000"
"1194","LTS","2001-03-15 15:59:00",-99.2667,34.6671,53.6,28.4,37.67,310,26,NA,29.71,1006,7,42,"FEW","SCT","   ","   ",0,10000,NA,NA,"BLDU",NA,NA,NA,45,290,"2001-03-15 15:23",53.6,"KLTS 151559Z COR 31026G42KT 7SM BLDU FEW000 SCT100 12/M02 A2971 RMK VIS N 3 PK WND 29045/23 BLDU FEW000 SLP060 8/070 9/030 COR 1626"
"1195","LTS","2001-03-15 16:59:00",-99.2667,34.6671,51.8,32,46.59,310,31,NA,29.72,1006.4,7,47,"FEW","BKN","   ","   ",0,4000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,51.8,"KLTS 151659Z 31031G47KT 7SM BLDU FEW000 BKN040 11/00 A2972 RMK VIS N 3 BLDU FEW000 SLP064 8/500 9/600 WND RWY 35R 290/28G37KT"
"1196","LTS","2001-03-15 17:55:00",-99.2667,34.6671,51.8,32,46.59,310,33,NA,29.75,1006.4,7,43,"FEW","BKN","   ","   ",0,4000,NA,NA,"BLDU",NA,NA,NA,48,300,"2001-03-15 17:33",51.8,"KLTS 151755Z 31033G43KT 7SM BLDU FEW000 BKN040 11/00 A2975 RMK VIS N 3 PK WND 30048/33 BLDU FEW000 SLP064 8/500 9/700 53014"
"1197","LTS","2001-03-15 18:21:00",-99.2667,34.6671,51.8,32,46.59,320,36,NA,29.77,NA,7,47,"FEW","BKN","   ","   ",0,4000,NA,NA,"-RA BLDU",NA,NA,NA,NA,NA,NA,51.8,"KLTS 151821Z COR 32036G47KT 7SM -RA BLDU FEW000 BKN040 11/00 A2977 RMK VIS N 3 TWR VIS 1 BLDU FEW000 COR 1825"
"1198","LTS","2001-03-15 18:49:00",-99.2667,34.6671,46.4,32,57,310,34,NA,29.79,NA,7,49,"FEW","BKN","   ","   ",0,4000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,35.93,"KLTS 151849Z 31034G49KT 7SM BLDU FEW000 BKN040 08/00 A2979 RMK VIS N 3 TWR VIS 1 BLDU FEW000"
"1199","LTS","2001-03-15 18:58:00",-99.2667,34.6671,46.4,32,57,330,38,NA,29.8,1009.3,7,51,"FEW","SCT","BKN","   ",0,3000,4000,NA,"BLDU",NA,NA,NA,NA,NA,NA,35.42,"KLTS 151858Z 33038G51KT 7SM BLDU FEW000 SCT030 BKN040 08/00 A2980 RMK VIS N 3 TWR VIS 1 BLDU FEW000 SLP093 8/500 9/700"
"1200","LTS","2001-03-15 19:11:00",-99.2667,34.6671,46.4,32,57,330,38,NA,29.81,NA,7,51,"FEW","SCT","BKN","   ",0,3000,4000,NA,"-RA BLDU",NA,NA,NA,NA,NA,NA,35.42,"KLTS 151911Z 33038G51KT 7SM -RA BLDU FEW000 SCT030 BKN040 08/00 A2981 RMK VIS N 3 TWR VIS 1 BLDU FEW000"
"1201","LTS","2001-03-15 19:57:00",-99.2667,34.6671,42.8,32,65.38,320,36,NA,29.83,1010.6,7,49,"FEW","FEW","OVC","   ",0,2800,3000,NA,"-RA BLDU",NA,NA,NA,54,320,"2001-03-15 19:41",30.64,"KLTS 151957Z 32036G49KT 7SM -RA BLDU FEW000 FEW028 OVC030 06/00 A2983 RMK VIS N 3 TWR VIS 1 PK WND 32054/41 BLDU FEW000 SLP106 8/5// 9/8// WND RWY 35R 310/28G41KT"
"1202","LTS","2001-03-15 20:26:00",-99.2667,34.6671,41,32,70.08,340,41,NA,29.83,NA,7,51,"FEW","BKN","OVC","   ",0,2500,3000,NA,"-RA BLDU",NA,NA,NA,NA,NA,NA,27.43,"KLTS 152026Z 34041G51KT 7SM -RA BLDU FEW000 BKN025 OVC030 05/00 A2983 RMK VIS N 3 TWR VIS 1 BLDU FEW000"
"1203","LTS","2001-03-15 20:56:00",-99.2667,34.6671,44.6,30.2,56.74,330,34,NA,29.82,1010.9,7,47,"FEW","BKN","BKN","   ",0,2500,10000,NA,"-RA BLDU",NA,NA,NA,51,330,"2001-03-15 20:24",33.43,"KLTS 152056Z 33034G47KT 7SM -RA BLDU FEW000 BKN025 BKN100 07/M01 A2982 RMK VIS N 3 PK WND 33051/24 BLDU FEW000 SLP109 60000 8/570 9/510 50024 WND RWY 35R 330/29G40KT"
