"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"2294","MAF","2001-04-06 22:53:00",-102.2075,31.9466,75.02,41,29.41,280,21,NA,29.74,1002.9,1.5,31,"BKN","OVC","   ",NA,1200,4500,NA,NA,"BLDU",NA,NA,NA,35,180,"2001-04-06 22:06",73.6,"METAR KMAF 062253Z 28021G31KT 1 1/2SM BLDU BKN012 OVC045 24/05 A2974 RMK AO2 PK WND 18035/2206 WSHFT 2233 SLP029 T02390050"
"2295","MAF","2001-04-06 23:53:00",-102.2075,31.9466,69.98,35.96,28.63,280,20,NA,29.81,1005.6,1,26,"VV ","   ","   ",NA,900,NA,NA,NA,"BLDU",NA,NA,NA,34,290,"2001-04-06 23:06",69.98,"METAR KMAF 062353Z 28020G26KT 1SM BLDU VV009 21/02 A2981 RMK AO2 PK WND 29034/2306 SLP056 T02110022 10267 20206 53062"
"2296","MAF","2001-04-07 00:53:00",-102.2075,31.9466,69.08,21.92,16.63,270,16,NA,29.83,1006.4,0.75,23,"VV ","   ","   ",NA,900,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,69.08,"METAR KMAF 070053Z 27016G23KT 3/4SM BLDU VV009 21/M06 A2983 RMK AO2 PK WND 28028/0018 SFC VIS 1 SLP064 T02061056"
"2297","MAF","2001-04-07 01:53:00",-102.2075,31.9466,66.02,23,19.34,290,10,NA,29.88,1008.2,4,NA,"OVC","   ","   ",NA,1900,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,66.02,"METAR KMAF 070153Z 29010KT 4SM BLDU OVC019 19/M05 A2988 RMK AO2 SLP082 T01891050"
"2298","MAF","2001-04-07 02:53:00",-102.2075,31.9466,62.96,24.08,22.52,290,5,NA,29.92,1009.8,8,NA,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,62.96,"METAR KMAF 070253Z 29005KT 8SM BLDU CLR 17/M04 A2992 RMK AO2 PRESRR SLP098 T01721044 53035"
"2671","MAF","2001-04-22 15:53:00",-102.2075,31.9466,71.06,24.98,17.67,270,23,NA,29.92,1009.3,7,31,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,68.7,"METAR KMAF 221553Z 27023G31KT 7SM BLDU CLR 22/M04 A2992 RMK AO2 PK WND 26035/1523 SLP093 T02171039"
"3904","MAF","2001-06-13 02:53:00",-102.2075,31.9466,84.92,51.98,32.2,210,19,NA,29.79,1003.3,3,36,"SCT","   ","   ",NA,3400,NA,NA,NA,"BLDU",NA,NA,NA,36,220,"2001-06-13 02:45",83.05,"METAR KMAF 130253Z 21019G36KT 3SM BLDU SCT034 29/11 A2979 RMK AO2 PK WND 22036/0245 WSHFT 0155 RAB42E44 SLP033 P0000 60000 T02940111 53038"
"5893","MAF","2001-09-04 00:53:00",-102.2075,31.9466,80.06,62.06,54.23,110,27,NA,29.89,1007.8,2,31,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,81.27,"METAR KMAF 040053Z 11027G31KT 2SM BLDU CLR 27/17 A2989 RMK AO2 PK WND 10031/0052 WSHFT 0012 SLP078 T02670167"
"6653","MAF","2001-10-05 16:53:00",-102.2075,31.9466,62.06,51.08,67.24,40,26,NA,30.06,1014.8,5,33,"SCT","BKN","   ",NA,3000,3700,NA,NA,"BLDU",NA,NA,NA,34,30,"2001-10-05 16:38",62.06,"METAR KMAF 051653Z 04026G33KT 5SM BLDU SCT030 BKN037 17/11 A3006 RMK AO2 PK WND 03034/1638 SLP148 T01670106"
"6751","MAF","2001-10-09 18:53:00",-102.2075,31.9466,84.02,44.06,24.62,250,16,NA,29.95,1009.8,7,23,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,81.56,"METAR KMAF 091853Z 25016G23KT 7SM BLDU CLR 29/07 A2995 RMK AO2 SLP098 T02890067"
