"State","Station_name","Station_code","Longitude","Latitude","first_avail"
"Colorado","Lamar","LAA",-102.6881,38.07,"2007-01-26"
"Kansas","Dodge City","DDC",-99.9654,37.7631,"2001-01-01"
"Kansas","Garden City","GCK",-100.7244,37.9275,"2001-01-01"
"New Mexico","Clovis","CVN",-103.0793,34.4251,"2001-01-01"
"New Mexico","Hobbs","HOB",-103.217,32.6875,"2001-01-01"
"New Mexico","Las Cruces","LRU",-106.922,32.2894,"2001-01-01"
"Oklahoma","Altus","AXS",-99.3385,34.6988,"2005-06-01"
"Oklahoma","Altus Air Force Base","LTS",-99.2667,34.6671,"2001-01-02"
"Oklahoma","Elk City","ELK",-99.3943,35.4308,"2014-11-06"
"Oklahoma","Clinton-Sherman","CSM",-99.2005,35.3398,"2001-01-01"
"Oklahoma","Guymon","GUY",-101.5053,36.6817,"2001-01-01"
"Texas","Amarillo","AMA",-101.7059,35.2194,"2001-01-01"
"Texas","El Paso","ELP",-106.3758,31.8111,"2001-01-01"
"Texas","Lubbock","LBB",-101.8228,33.6636,"2001-01-01"
"Texas","Midland","MAF",-102.1892,31.9425,"2001-01-01"
